Abandono,Género,AdultoMayor,Pareja,Dependientes,PermanenciaMeses,ServicioTeléfono,LíneasMúltiples,SeguridadEnLínea,RespaldoEnLínea,ProtecciónDispositivo,SoporteTécnico,StreamingTV,StreamingPelículas,FacturaciónElectrónica,CargoMensual,CargoTotal,Internet_DSL,Internet_FibraÓptica,Contrato_Mensual,Contrato_1Año,Contrato_2Años,Pago_TransferenciaAutomática,Pago_TarjetaAutomática,Pago_ChequeElectrónico,Pago_ChequeCorreo,CargoDiario,Abandono_Label
0,0,0,1,1,1.6138937520255214,1,1,1,1,1,1,1,1,1,1.7286500512090974,2.724922733621614,0,1,0,0,1,0,1,0,0,1.728650051209097,Permanencia
0,0,0,1,0,-1.1129998530645118,1,0,0,0,0,0,0,0,1,0.1404000488000693,-0.8503608517874574,0,1,1,0,0,0,0,1,0,0.14040004880006932,Permanencia
0,0,0,0,0,1.6138937520255214,1,1,1,1,1,0,1,0,1,1.2141699041382523,2.1975791567601295,0,1,0,0,1,1,0,0,0,1.214169904138252,Permanencia
0,0,0,0,0,0.9626952791682001,0,0,1,1,1,1,0,0,0,-0.652895145715621,0.12386836097395958,1,0,0,0,1,1,0,0,0,-0.6528951457156209,Permanencia
0,0,0,1,1,1.573193847471939,1,1,0,1,1,0,0,1,1,1.0299528192193368,2.015909184254565,0,1,0,0,1,0,1,0,0,1.029952819219337,Permanencia
0,0,0,1,1,0.06729737898938325,0,0,1,0,1,1,1,1,0,-0.11518041135770546,-0.1261952724202481,1,0,0,1,0,0,0,0,1,-0.11518041135770543,Permanencia
0,0,1,0,0,-1.275799471278842,1,1,0,0,0,0,0,0,1,0.2449556915918859,-0.9736061845980795,0,1,1,0,0,0,0,1,0,0.2449556915918862,Permanencia
1,1,1,0,0,0.5149963290787917,1,0,1,0,1,0,0,1,0,-0.06705162340591662,0.22594055142627867,1,0,0,1,0,0,1,0,0,-0.06705162340591626,Abandono
1,1,1,0,0,-1.275799471278842,0,0,0,0,0,0,0,0,1,-1.315080883397128,-0.9943382198239178,1,0,1,0,0,0,0,1,0,-1.3150808833971277,Abandono
0,0,1,1,0,0.7184958518467046,1,1,0,0,0,0,0,0,0,-1.3117616566418322,-0.42919176171021345,0,0,0,1,0,0,0,1,0,-1.311761656641832,Permanencia
1,0,0,1,0,-0.787400616635851,1,1,0,1,1,0,1,0,0,0.9751855777569564,-0.4692001786247568,0,1,1,0,0,0,0,1,0,0.9751855777569561,Abandono
0,0,0,1,1,-0.3804015711000252,1,1,0,0,0,0,1,0,1,0.6316456085838439,-0.18938386914580865,0,1,1,0,0,0,0,1,0,0.6316456085838438,Permanencia
0,0,0,0,0,-1.1943996621716768,1,0,0,0,0,0,0,0,0,-1.489340288050156,-0.9801786808718027,0,0,1,0,0,0,0,0,1,-1.4893402880501558,Permanencia
1,0,0,1,1,-1.1536997576180943,1,0,0,0,0,0,0,0,0,-1.4727441542736772,-0.9717314792851046,0,0,1,0,0,0,0,0,1,-1.472744154273677,Abandono
1,0,0,1,1,-1.275799471278842,0,0,1,0,0,0,0,0,0,-1.1358426386111562,-0.9919562413086086,1,0,1,0,0,1,0,0,0,-1.135842638611156,Abandono
0,0,0,1,1,0.9219953746146176,1,0,0,1,1,1,1,1,1,1.293831346265351,1.4898227627206053,0,1,0,1,0,1,0,0,0,1.2938313462653508,Permanencia
0,1,0,1,1,0.8812954700610349,1,0,0,0,0,0,0,0,0,-1.4710845408960296,-0.5243385701828376,0,0,0,0,1,0,1,0,0,-1.4710845408960291,Permanencia
0,1,0,0,0,-0.2583018574392774,1,0,0,0,0,0,0,0,1,-1.4976383549383956,-0.7972736083953372,0,0,0,1,0,1,0,0,0,-1.4976383549383954,Permanencia
0,0,0,1,1,1.4917940383647736,1,0,0,0,0,0,0,0,0,-1.4943191281830999,-0.38922745550891646,0,0,0,0,1,1,0,0,0,-1.4943191281830994,Permanencia
0,0,0,0,0,-0.8688004257430162,1,1,1,0,0,0,0,0,1,0.4739823377072946,-0.5954891506493849,0,1,1,0,0,1,0,0,0,0.4739823377072946,Permanencia
0,1,0,1,1,0.189397092650131,1,0,0,0,0,0,1,1,0,0.8789280018533792,0.4271074591867805,0,1,0,1,0,0,1,0,0,0.8789280018533792,Permanencia
0,0,0,1,0,0.677795947293122,1,0,0,0,0,0,0,0,0,-1.4694249275183815,-0.6080165932113808,0,0,0,1,0,1,0,0,0,-1.4694249275183813,Permanencia
0,1,0,1,0,1.369694324704026,1,1,1,1,1,1,1,1,0,1.6954577836561395,2.4979290032553068,0,1,0,1,0,1,0,0,0,1.6954577836561393,Permanencia
0,0,0,0,0,1.4103942292576086,1,0,0,0,0,0,0,0,0,-1.4661057007630858,-0.412826687095775,0,0,0,1,0,0,0,1,0,-1.4661057007630853,Permanencia
0,1,0,1,1,-0.5025012847607729,0,0,1,0,1,1,0,0,1,-0.8404314573898323,-0.6413201817124615,1,0,0,0,1,0,1,0,0,-0.840431457389832,Permanencia
0,0,0,0,1,0.4335965199716265,1,1,0,0,0,0,0,0,1,-1.315080883397128,-0.5333592110417394,0,0,0,0,1,0,0,1,0,-1.3150808833971277,Permanencia
0,0,0,1,0,0.9219953746146176,1,1,1,0,0,0,1,0,1,0.8324588272792381,1.1823049253228777,0,1,1,0,0,1,0,0,0,0.8324588272792381,Permanencia
0,0,0,1,0,1.084794992828948,1,1,1,1,0,0,1,0,1,0.9967605516663791,1.4637533311919446,0,1,1,0,0,0,0,1,0,0.996760551666379,Permanencia
0,0,0,1,1,-0.8281005211894337,1,0,0,0,0,0,0,0,0,-1.4744037676513253,-0.9063814576104673,0,0,0,0,1,1,0,0,0,-1.4744037676513246,Permanencia
0,1,0,1,1,-0.21760195288569487,1,1,0,0,0,0,0,0,1,0.36610746816018186,-0.1545143503244784,0,1,1,0,0,1,0,0,0,0.36610746816018186,Permanencia
1,1,1,0,0,-1.2350995667252596,1,0,1,0,0,0,0,0,1,-0.5134876219931984,-0.9652251490812511,1,0,1,0,0,0,0,1,0,-0.5134876219931983,Abandono
0,0,0,0,0,-0.21760195288569487,1,0,0,1,1,1,1,1,0,0.44742852366492847,-0.08837033581140483,1,0,0,1,0,0,0,0,1,0.4474285236649287,Permanencia
0,1,0,1,1,-0.29900176199286005,1,1,0,0,0,0,0,0,0,-1.301803976375945,-0.7272478511165746,0,0,0,0,1,0,1,0,0,-1.3018039763759446,Permanencia
0,1,0,1,1,-0.29900176199286005,1,0,1,1,1,0,0,0,1,-0.10356311771417019,-0.2947864184482358,1,0,0,1,0,1,0,0,0,-0.10356311771417018,Permanencia
0,1,0,0,1,-0.13620214377852968,0,0,1,1,1,1,0,0,1,-0.6545547590932689,-0.457356452118081,1,0,1,0,0,0,0,0,1,-0.6545547590932685,Permanencia
0,1,0,1,0,1.6138937520255214,1,1,0,1,1,1,1,1,1,0.6781147831579849,1.780710861224416,1,0,0,0,1,1,0,0,0,0.6781147831579848,Permanencia
0,0,0,0,0,-0.7467007120822685,1,0,0,1,0,0,0,0,0,-0.4404646333766913,-0.6843501824843878,1,0,0,1,0,0,1,0,0,-0.44046463337669106,Permanencia
0,0,0,0,0,0.10799728354296582,1,0,0,0,1,1,1,1,1,1.1461257556546889,0.5525803830163489,0,1,0,1,0,0,0,1,0,1.1461257556546887,Permanencia
0,1,0,0,0,-1.275799471278842,1,0,0,0,0,0,0,0,1,-0.6777893463803394,-0.9858689628805964,1,0,1,0,0,0,0,0,1,-0.6777893463803392,Permanencia
0,1,0,0,0,-0.13620214377852968,1,0,0,0,0,1,1,1,1,0.9785048045122524,0.14482094976603027,0,1,1,0,0,0,0,1,0,0.9785048045122524,Permanencia
0,1,0,0,0,1.2882945155968608,1,1,1,1,1,1,1,0,0,0.5486649397014495,1.450476006504759,1,0,0,1,0,0,0,1,0,0.5486649397014497,Permanencia
0,0,0,1,1,0.27079690175729615,1,1,0,0,0,1,1,1,1,1.1693603429417594,0.6564170019985267,0,1,1,0,0,0,1,0,0,1.1693603429417592,Permanencia
0,0,1,0,0,0.3114968063108788,1,0,0,0,0,0,1,1,1,0.8905452954969142,0.6150411529733428,0,1,1,0,0,0,0,1,0,0.8905452954969144,Permanencia
1,1,0,0,0,0.3114968063108788,1,1,0,1,1,0,1,1,1,1.320385160307717,0.7752733188411254,0,1,1,0,0,0,1,0,0,1.320385160307717,Abandono
1,0,1,0,0,-0.8688004257430162,1,0,0,1,0,0,1,1,1,1.0050586185546184,-0.5112376883486376,0,1,1,0,0,0,0,1,0,1.0050586185546184,Abandono
0,0,0,1,0,-1.0722999485109292,1,1,0,0,0,0,0,0,0,-0.47697612768494485,-0.866659760332026,1,0,1,0,0,0,0,1,0,-0.4769761276849446,Permanencia
0,1,0,0,0,-0.0955022392249471,1,1,1,0,0,0,0,1,1,-0.007305541810592777,-0.17240124454591976,1,0,1,0,0,0,0,0,1,-0.0073055418105927175,Permanencia
0,1,0,0,0,-0.21760195288569487,1,0,0,0,0,0,0,0,1,-1.5042768084489873,-0.771711450069011,0,0,1,0,0,0,0,1,0,-1.504276808448987,Permanencia
0,1,1,1,0,1.5324939429183564,1,1,0,1,1,0,1,1,1,1.3303428405736044,2.218619966978693,0,1,0,1,0,0,0,1,0,1.3303428405736042,Permanencia
0,0,0,1,0,1.0033951837217827,1,1,0,1,1,1,1,1,1,1.4830272713172103,1.752700558312911,0,1,0,1,0,1,0,0,0,1.4830272713172103,Permanencia
0,1,0,1,0,1.0440950882753652,1,0,0,0,1,0,0,0,0,-0.4786357410625929,0.26433892730732617,1,0,0,1,0,0,1,0,0,-0.4786357410625927,Permanencia
0,1,0,0,0,-0.6653009029751032,1,1,0,1,1,0,0,1,1,0.22172110430481587,-0.4707440535883831,1,0,1,0,0,1,0,0,0,0.22172110430481612,Permanencia
0,0,0,1,0,1.4917940383647736,1,1,1,1,1,1,1,1,1,1.7020962371667312,2.6041034900395474,0,1,0,0,1,0,0,1,0,1.7020962371667312,Permanencia
1,1,0,0,0,-1.275799471278842,1,0,0,0,0,0,0,0,1,-1.489340288050156,-0.9966540322693571,0,0,1,0,0,0,0,1,0,-1.4893402880501558,Abandono
1,1,0,0,1,-1.275799471278842,1,1,0,0,1,0,1,1,1,1.1627218894311677,-0.9614095723854319,0,1,1,0,0,0,0,1,0,1.162721889431168,Abandono
0,1,1,1,1,-0.014102430117781927,1,0,0,1,0,0,1,1,1,0.970206737624013,0.25679599534218056,0,1,1,0,0,0,0,0,1,0.970206737624013,Permanencia
0,1,0,1,1,-0.6653009029751032,1,1,0,0,1,0,1,0,1,0.8656510948321959,-0.36924530240826803,0,1,1,0,0,1,0,0,0,0.8656510948321957,Permanencia
1,1,0,1,0,0.677795947293122,1,1,1,0,1,1,1,1,0,0.6515609691156183,0.7851982293215799,1,0,0,1,0,0,0,1,0,0.6515609691156184,Abandono
0,0,0,1,0,1.573193847471939,0,0,0,1,1,1,1,1,0,-0.2147572140165787,0.8233760516363949,1,0,0,0,1,1,0,0,0,-0.21475721401657852,Permanencia
0,0,0,0,0,0.02659747443580066,1,1,0,1,1,0,1,1,0,1.4216215763442381,0.6026460425510862,0,1,1,0,0,0,0,1,0,1.4216215763442381,Permanencia
0,0,0,1,0,-0.9095003302965988,1,0,0,0,0,0,0,0,1,-1.4860210612948603,-0.9225921447285431,0,0,1,0,0,1,0,0,0,-1.4860210612948601,Permanencia
1,1,0,1,0,-0.46180138020719036,1,1,0,1,1,1,1,1,1,1.542773352912534,0.01667932778505063,0,1,1,0,0,0,0,1,0,1.5427733529125338,Abandono
1,1,0,1,1,0.189397092650131,0,0,1,1,1,0,0,0,0,-0.8138776433474659,-0.3663339953340014,1,0,1,0,0,1,0,0,0,-0.8138776433474657,Abandono
0,0,1,0,0,-0.2583018574392774,1,0,1,0,0,0,1,0,1,0.6996897570674071,-0.03777534771770983,0,1,1,0,0,0,1,0,0,0.6996897570674071,Permanencia
0,1,0,0,0,1.573193847471939,1,0,0,0,0,0,0,0,1,-1.4876806746725084,-0.4076657336459387,0,0,0,0,1,0,1,0,0,-1.487680674672508,Permanencia
0,1,0,0,0,0.7184958518467046,0,0,1,0,0,1,0,0,1,-0.9732005276016633,-0.2339577448813611,1,0,0,1,0,0,0,0,1,-0.973200527601663,Permanencia
1,0,0,0,0,-1.0316000439573465,1,1,0,0,0,0,0,0,1,0.30304215980956195,-0.7798939873762302,0,1,1,0,0,0,0,1,0,0.30304215980956206,Abandono
0,0,0,1,1,1.166194801936113,1,1,1,1,1,1,1,1,0,0.7760319724392098,1.4324788355002014,1,0,0,0,1,0,0,0,1,0.77603197243921,Permanencia
1,1,0,0,0,-0.7060008075286859,1,0,0,0,1,1,1,1,1,1.2158295175159,-0.3199515803553438,0,1,1,0,0,0,0,1,0,1.2158295175158997,Abandono
0,0,0,0,1,-0.2583018574392774,0,0,1,0,0,1,0,1,0,-0.6280009450509028,-0.4994601279118315,1,0,1,0,0,0,0,0,1,-0.6280009450509024,Permanencia
0,1,0,1,0,1.6138937520255214,1,0,0,0,1,0,1,1,1,0.9934413249110835,1.9708942013865483,0,1,1,0,0,0,0,1,0,0.9934413249110835,Permanencia
0,1,0,1,1,0.4742964245252091,1,0,0,0,0,0,0,0,1,-1.4677653141407336,-0.6238302839102384,0,0,0,1,0,1,0,0,0,-1.4677653141407332,Permanencia
0,1,0,0,0,1.369694324704026,1,1,0,1,0,0,0,1,0,0.8191819202580554,1.6310432111791615,0,1,1,0,0,0,1,0,0,0.8191819202580551,Permanencia
1,0,0,0,0,-1.2350995667252596,1,0,1,1,0,1,0,0,1,0.7146262774662382,-0.9252828982365774,0,1,1,0,0,0,0,1,0,0.7146262774662383,Abandono
0,0,1,0,0,0.4742964245252091,1,0,0,0,1,1,1,1,0,0.33623442736251974,0.4361501554023058,1,0,0,1,0,1,0,0,0,0.3362344273625197,Permanencia
1,0,0,0,0,-0.8281005211894337,1,1,0,1,0,0,1,0,1,0.8307992139015904,-0.5411888626429869,0,1,1,0,0,1,0,0,0,0.8307992139015904,Abandono
0,1,1,1,0,1.4917940383647736,1,1,0,1,1,1,1,1,1,1.5012830184713368,2.362112117169443,0,1,0,0,1,0,0,1,0,1.5012830184713368,Permanencia
1,0,0,0,0,-1.275799471278842,1,1,0,1,0,0,0,0,1,0.5138130587708439,-0.9700332168251158,0,1,1,0,0,0,0,0,1,0.5138130587708439,Abandono
1,0,0,0,0,-1.1943996621716768,1,0,0,0,0,0,0,0,0,-1.489340288050156,-0.9772894291541592,0,0,1,0,0,0,0,0,1,-1.4893402880501558,Abandono
0,0,0,1,0,-1.2350995667252596,1,0,1,1,0,0,1,0,0,0.8507145744333648,-0.9213791001142653,0,1,1,0,0,0,0,1,0,0.8507145744333646,Permanencia
0,0,1,0,0,-0.21760195288569487,1,1,0,1,1,0,0,0,1,0.7212647309768299,0.053710271555457774,0,1,1,0,0,1,0,0,0,0.72126473097683,Permanencia
0,1,0,0,0,-0.2583018574392774,1,0,0,0,0,0,0,0,1,-1.4744037676513253,-0.7798939873762302,0,0,1,0,0,0,0,1,0,-1.4744037676513246,Permanencia
0,0,1,1,0,0.27079690175729615,1,1,0,0,0,1,1,1,1,1.2125102907606045,0.736588223323976,0,1,1,0,0,0,0,1,0,1.2125102907606045,Permanencia
1,1,0,0,0,-0.29900176199286005,1,1,0,0,0,0,1,1,1,0.9951009382887313,0.036529148745959694,0,1,1,0,0,1,0,0,0,0.9951009382887313,Abandono
1,0,0,0,0,-1.275799471278842,1,0,0,0,0,0,0,0,0,0.205124970528337,-0.974135513157037,0,1,1,0,0,0,0,0,1,0.2051249705283373,Abandono
0,1,0,0,0,-0.13620214377852968,1,0,1,1,0,1,0,0,1,-0.19816108024009982,-0.25720409076224793,1,0,0,1,0,0,0,1,0,-0.1981610802400997,Permanencia
1,1,0,1,0,-0.4211014756536078,1,0,1,0,0,1,0,0,1,-0.3491858976060575,-0.496945817256783,1,0,1,0,0,0,0,1,0,-0.34918589760605717,Abandono
0,0,1,0,0,-1.1129998530645118,1,0,1,1,0,1,0,0,0,-0.15998997255419847,-0.8784373207688321,1,0,1,0,0,0,1,0,0,-0.1599899725541983,Permanencia
0,0,0,0,0,1.6138937520255214,1,1,1,1,1,1,1,1,1,1.6655847428584778,2.7425449635635766,0,1,0,0,1,0,0,1,0,1.6655847428584776,Permanencia
0,0,0,0,0,-0.3397016665464426,1,0,0,0,0,0,0,0,1,-1.4992979683160437,-0.7980014351639039,0,0,0,0,1,1,0,0,0,-1.499297968316043,Permanencia
0,0,0,1,0,-0.5432011893143556,1,1,0,0,0,0,1,0,1,0.7345416379980126,-0.31534201082108826,0,1,1,0,0,0,0,1,0,0.734541637998013,Permanencia
0,1,0,1,1,1.573193847471939,1,1,0,0,0,0,0,0,0,-1.3067828165088886,-0.19044252626372382,0,0,0,0,1,0,1,0,0,-1.306782816508888,Permanencia
0,1,1,1,0,0.02659747443580066,1,1,1,0,1,1,1,1,1,1.4996234050936892,0.6243485134683467,0,1,1,0,0,1,0,0,0,1.4996234050936892,Permanencia
0,0,0,0,0,-1.1943996621716768,1,0,0,0,0,0,0,0,0,-1.4860210612948603,-0.9798257951658309,0,0,1,0,0,0,0,0,1,-1.4860210612948601,Permanencia
0,1,0,1,1,0.5963961381859568,1,1,0,1,0,0,1,0,0,0.7461589316415482,0.7667158404713112,0,1,1,0,0,0,0,1,0,0.7461589316415482,Permanencia
0,1,0,1,1,1.2068947064896955,1,0,1,1,1,1,1,1,0,1.4415369368760131,2.00543288985853,0,1,0,0,1,0,0,0,1,1.4415369368760127,Permanencia
0,1,0,0,0,1.573193847471939,1,1,1,1,1,1,1,1,1,1.7120539174326184,2.6599917637228176,0,1,0,1,0,1,0,0,0,1.7120539174326181,Permanencia
0,1,1,1,0,-1.0316000439573465,1,0,0,0,0,0,1,1,1,0.805905013236872,-0.7383416954980605,0,1,1,0,0,0,0,1,0,0.8059050132368721,Permanencia
0,0,0,1,1,-0.21760195288569487,1,0,1,0,0,0,0,0,0,0.3212979069636891,-0.13539235613213604,0,1,1,0,0,0,0,0,1,0.321297906963689,Permanencia
0,1,0,0,0,-1.2350995667252596,1,0,0,0,0,0,0,0,0,-1.4827018345395648,-0.9905446984847218,0,0,1,0,0,0,0,0,1,-1.4827018345395642,Permanencia
0,0,0,0,1,-0.29900176199286005,0,0,1,0,0,1,0,0,0,-0.9848178212451986,-0.63291709083901,1,0,0,0,1,1,0,0,0,-0.9848178212451982,Permanencia
0,1,1,0,0,-0.0955022392249471,1,0,1,1,0,0,1,1,1,0.3329152006072241,-0.07410052007617338,1,0,1,0,0,0,0,1,0,0.33291520060722424,Permanencia
1,0,1,1,0,1.0440950882753652,1,0,1,1,0,1,1,1,1,1.353577427860675,1.7318803016605797,0,1,0,1,0,0,1,0,0,1.3535774278606747,Abandono
1,1,0,1,0,-0.9095003302965988,1,1,0,0,0,0,0,1,1,0.6814340099132805,-0.6281310784517687,0,1,1,0,0,0,0,1,0,0.6814340099132806,Abandono
0,0,0,0,0,-0.9502002348501813,1,1,0,0,0,0,0,0,1,0.3478517210060552,-0.7258142529360646,0,1,1,0,0,0,1,0,0,0.3478517210060554,Permanencia
1,0,1,1,0,-1.0722999485109292,1,1,0,0,0,0,0,1,1,0.6515609691156183,-0.79592823164132,0,1,1,0,0,0,0,1,0,0.6515609691156184,Abandono
0,0,0,1,1,1.4917940383647736,1,1,1,0,1,0,0,0,0,0.6548801958709144,1.574449166083948,0,1,0,1,0,1,0,0,0,0.6548801958709143,Permanencia
0,0,1,0,0,1.369694324704026,1,1,1,0,0,0,1,1,1,1.250681398446506,1.8493691863925383,0,1,0,0,1,1,0,0,0,1.250681398446506,Permanencia
1,0,0,0,0,1.5324939429183564,1,1,1,1,1,1,1,1,0,1.6871597167679002,2.579732320970876,0,1,0,1,0,0,1,0,0,1.6871597167679,Abandono
1,1,0,0,0,-0.29900176199286005,1,1,0,0,0,0,0,0,0,-1.3084424298865365,-0.7070671998063172,0,0,0,1,0,1,0,0,0,-1.3084424298865363,Abandono
0,0,0,1,1,0.5556962336323743,1,0,0,0,0,0,0,0,1,-1.5092556485819308,-0.6242052249728334,0,0,0,0,1,0,0,0,1,-1.5092556485819306,Permanencia
0,0,0,1,0,0.8812954700610349,1,1,1,1,1,1,1,1,1,1.6572866759702385,1.663067588996095,0,1,0,1,0,0,0,0,1,1.6572866759702383,Permanencia
1,0,0,0,0,-0.7060008075286859,1,0,1,0,1,1,1,1,0,1.3403005208394916,-0.307247694940362,0,1,1,0,0,0,0,1,0,1.3403005208394914,Abandono
0,0,0,1,1,-0.8281005211894337,1,0,0,0,0,0,0,0,0,-1.5042768084489873,-0.918026685907534,0,0,1,0,0,1,0,0,0,-1.504276808448987,Permanencia
0,0,0,0,0,-0.4211014756536078,0,0,0,1,0,0,1,1,1,-0.47697612768494485,-0.5206994363400043,1,0,1,0,0,0,0,1,0,-0.4769761276849446,Permanencia
0,0,0,1,0,1.5324939429183564,0,0,0,1,1,1,1,1,0,-0.22969373441540977,0.7763540313156639,1,0,0,0,1,1,0,0,0,-0.22969373441540963,Permanencia
0,1,0,0,0,-0.0955022392249471,1,0,1,1,1,0,0,0,1,0.6499013557379705,0.07027384437950511,0,1,1,0,0,0,1,0,0,0.6499013557379707,Permanencia
0,1,0,1,1,1.573193847471939,1,1,0,1,0,0,1,1,0,1.189275703473534,2.1325158547215946,0,1,0,1,0,1,0,0,0,1.189275703473534,Permanencia
0,1,0,1,0,-0.0955022392249471,1,0,0,0,0,0,0,0,0,-1.4909999014278041,-0.7510455809130423,0,0,0,1,0,0,1,0,0,-1.4909999014278035,Permanencia
1,1,0,1,1,-1.1536997576180943,1,1,0,1,1,0,0,0,1,0.6664974895144494,-0.8413622662851785,0,1,1,0,0,1,0,0,0,0.6664974895144495,Abandono
1,1,0,0,0,-1.2350995667252596,1,0,0,0,1,0,0,1,1,0.701349370445055,-0.931612785587445,0,1,1,0,0,0,0,1,0,0.7013493704450549,Abandono
0,1,0,0,1,-0.9095003302965988,1,0,0,0,0,0,0,0,1,-1.4860210612948603,-0.9085869932727906,0,0,0,1,0,1,0,0,0,-1.4860210612948601,Permanencia
0,1,1,0,0,-1.1536997576180943,1,0,1,0,0,0,0,0,0,0.3528305611389986,-0.8848113188329461,0,1,1,0,0,0,0,1,0,0.35283056113899847,Permanencia
0,1,1,0,0,0.7998956609538698,0,0,1,0,0,0,1,1,1,-0.5284241423920295,0.12164076995501324,1,0,1,0,0,0,1,0,0,-0.5284241423920294,Permanencia
1,1,0,0,0,-1.1129998530645118,1,1,0,0,0,0,0,0,0,-0.5831913838544097,-0.9069769522392945,1,0,1,0,0,0,0,1,0,-0.5831913838544096,Abandono
0,1,0,1,1,-0.990900139403764,1,0,0,0,0,0,0,0,0,-1.4793826077842689,-0.9324067784258815,0,0,0,0,1,0,0,0,1,-1.4793826077842684,Permanencia
0,0,1,0,0,-1.2350995667252596,1,0,0,0,0,0,0,0,1,-0.6777893463803394,-0.9660191419196874,1,0,1,0,0,0,0,1,0,-0.6777893463803392,Permanencia
0,1,0,0,0,-1.1943996621716768,1,0,0,1,0,0,0,1,0,0.6499013557379705,-0.9017277773629654,0,1,1,0,0,0,0,1,0,0.6499013557379707,Permanencia
0,1,0,0,0,-0.5432011893143556,1,1,0,0,1,1,0,0,0,-0.17160726619773373,-0.5005187850297467,1,0,1,0,0,0,0,1,0,-0.1716072661977336,Permanencia
0,1,0,0,0,1.6138937520255214,1,1,1,1,1,1,0,0,0,0.16363463608713982,1.1596540740708179,1,0,0,0,1,1,0,0,0,0.16363463608713985,Permanencia
0,1,1,1,0,1.2475946110432783,0,0,1,0,0,1,0,0,0,-0.9499659403145928,0.008651177974194154,1,0,0,1,0,1,0,0,0,-0.9499659403145925,Permanencia
0,1,0,1,0,1.369694324704026,0,0,1,1,1,1,1,0,1,-0.2695244554789589,0.6660331374862558,1,0,0,0,1,1,0,0,0,-0.26952445547895876,Permanencia
1,1,0,0,0,-1.275799471278842,1,0,0,0,0,1,0,0,1,0.3710863082931257,-0.9719299774947137,0,1,1,0,0,0,0,1,0,0.3710863082931259,Abandono
0,0,0,0,0,1.1254948973825305,1,1,0,0,1,0,0,0,1,0.4806207912178862,1.0964654773452573,0,1,0,1,0,1,0,0,0,0.4806207912178863,Permanencia
0,0,0,1,1,0.6370960427395395,0,0,1,0,1,0,0,1,0,-0.6545547590932689,-0.03660641381667848,1,0,0,1,0,0,1,0,0,-0.6545547590932685,Permanencia
1,0,0,0,0,-1.275799471278842,1,0,0,0,1,0,1,0,1,0.6913916901791677,-0.9676732936664298,0,1,1,0,0,0,1,0,0,0.6913916901791678,Abandono
1,1,0,0,0,-0.7060008075286859,1,1,0,0,0,0,1,1,1,0.9502913770922381,-0.3681645899337296,0,1,1,0,0,0,0,1,0,0.9502913770922379,Abandono
0,0,0,1,0,0.7184958518467046,1,1,1,1,0,1,1,1,1,1.4913253382054497,1.3791269278286025,0,1,1,0,0,1,0,0,0,1.4913253382054497,Permanencia
0,1,0,1,1,1.6138937520255214,1,1,1,1,1,1,1,1,0,0.8291396005239425,1.7909004359843494,1,0,0,0,1,0,1,0,0,0.8291396005239426,Permanencia
0,0,0,0,0,0.5556962336323743,1,1,1,1,0,0,0,0,0,0.6482417423603227,0.6917937940221912,0,1,1,0,0,0,0,0,1,0.6482417423603226,Permanencia
